group_id,Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3
841,Gerald Wallace,18,SF,BOS,961.0,15.1,732.0,29500.0,0.5,1.7,2.2,3.9,1.3,0.5,0.5,0.3
842,Gerald Wilkins,12,SG,ORL,897.0,12.3,653.0,26056.0,0.5,1.1,1.7,2.8,-1.7,0.4,0.5,0.3
843,Gheorghe Muresan,1,C,WSB,76.0,21.0,76.0,2242.0,0.6,4.3,3.8,8.0,1.5,0.6,0.6,0.0
844,Giannis Antetokounmpo,4,SF,MIL,318.0,17.6,253.0,10106.0,0.6,3.6,3.1,6.7,2.2,0.5,0.5,0.3
845,Gilbert Arenas,13,PG,MEM,622.0,16.9,471.0,21147.0,0.5,2.8,1.2,4.0,1.2,0.4,0.4,0.3
846,Glen Davis,9,PF,LAC,513.0,12.3,164.0,11587.0,0.5,0.3,1.7,2.0,-2.6,0.4,0.5,0.2
847,Glen Gondrezick,2,PF,DEN,156.0,14.2,2.0,2829.0,0.5,2.0,1.0,3.0,1.2,0.5,0.5,0.0
848,Glen Rice,17,SG,WAS,1016.0,13.3,877.0,35137.0,0.5,3.7,1.5,5.2,-1.2,0.4,0.4,0.4
849,Glenn Robinson,16,SF,IND,872.0,15.0,701.0,27802.0,0.5,1.4,1.3,2.7,-1.9,0.4,0.5,0.3
850,God Shammgod,1,PG,WAS,20.0,9.2,0.0,146.0,0.4,-0.3,0.1,-0.1,-9.6,0.3,0.3,0.0
851,Goran Dragic,13,PG,MIA,795.0,16.3,494.0,21741.0,0.6,2.8,1.2,4.0,0.7,0.5,0.5,0.4
852,Gordan Giricek,13,SG,PHO,589.0,11.3,296.0,13844.0,0.5,0.6,0.4,1.0,-3.4,0.4,0.5,0.4
853,Gordon Hayward,7,SF,UTA,516.0,17.1,408.0,16164.0,0.6,4.2,2.0,6.2,1.6,0.4,0.5,0.4
854,Gorgui Dieng,4,PF,MIN,297.0,16.2,185.0,7884.0,0.6,2.7,2.0,4.7,1.8,0.5,0.5,0.5
855,Grant Gondrezick,2,SG,LAC,91.0,11.4,1.0,1080.0,0.5,0.1,0.3,0.4,-3.8,0.4,0.4,0.3
856,Grant Hill,18,SF,LAC,1026.0,17.9,972.0,34776.0,0.5,3.4,2.2,5.6,1.8,0.5,0.5,0.3
857,Grant Jerrett,3,PF,UTA,16.0,1.4,0.0,102.0,0.3,-0.1,0.0,-0.1,-8.5,0.3,0.5,0.0
858,Grant Long,16,PF,BOS,1082.0,12.6,750.0,31093.0,0.5,1.9,2.3,4.2,-0.0,0.5,0.5,0.2
859,Granville Waiters,5,C,CHI,249.0,6.6,39.0,2547.0,0.4,-0.3,0.7,0.4,-4.2,0.4,0.4,0.0
860,Greg Anderson,9,C,ATL,595.0,11.4,287.0,12374.0,0.5,0.1,1.6,1.7,-3.4,0.5,0.5,0.1
861,Greg Anthony,13,PG,MIL,817.0,14.1,265.0,17364.0,0.5,1.2,1.6,2.8,-0.4,0.4,0.4,0.3
