solo_competitive_rank,rank_tier,competitive_rank,mmr_estimate,leaderboard_rank,account_id,personaname,name,plus,cheese,steamid,avatar,avatarmedium,avatarfull,profileurl,last_login,loccountrycode,status,is_contributor,is_subscriber
,80.0,,{'estimate': 4849},3625.0,162180111,XD,,False,0,76561198122445839,https://avatars.steamstatic.com/9bf074b8873632d05b78fbe23ed0b72852cd19d6.jpg,https://avatars.steamstatic.com/9bf074b8873632d05b78fbe23ed0b72852cd19d6_medium.jpg,https://avatars.steamstatic.com/9bf074b8873632d05b78fbe23ed0b72852cd19d6_full.jpg,https://steamcommunity.com/profiles/76561198122445839/,,,,False,False
,,,{'estimate': 3975},,376913427,KamaS|GaMoN,,False,0,76561198337179155,https://avatars.steamstatic.com/ee62153aa5f10db36a245b21224173a94b936900.jpg,https://avatars.steamstatic.com/ee62153aa5f10db36a245b21224173a94b936900_medium.jpg,https://avatars.steamstatic.com/ee62153aa5f10db36a245b21224173a94b936900_full.jpg,https://steamcommunity.com/profiles/76561198337179155/,,,,False,False
3747.0,80.0,4134.0,{'estimate': 5708},285.0,427606549,Aboslute,Aloha,False,0,76561198387872277,https://avatars.steamstatic.com/8bd33226d77544f8c998ba9d1af87e22aca20edc.jpg,https://avatars.steamstatic.com/8bd33226d77544f8c998ba9d1af87e22aca20edc_medium.jpg,https://avatars.steamstatic.com/8bd33226d77544f8c998ba9d1af87e22aca20edc_full.jpg,https://steamcommunity.com/profiles/76561198387872277/,2019-01-03T06:53:10.464Z,,,False,False
,80.0,,{'estimate': 4699},1081.0,260184615,stranger,,False,0,76561198220450343,https://avatars.steamstatic.com/6641e75b8730bc462b567a35cb525ffc85931fcb.jpg,https://avatars.steamstatic.com/6641e75b8730bc462b567a35cb525ffc85931fcb_medium.jpg,https://avatars.steamstatic.com/6641e75b8730bc462b567a35cb525ffc85931fcb_full.jpg,https://steamcommunity.com/profiles/76561198220450343/,,,,False,False
1692.0,,2168.0,{'estimate': 2111},,131684905,古兰经倒背如流,,False,0,76561198091950633,https://avatars.steamstatic.com/b06093555b8c23375db9959e2ff96282bcb8e557.jpg,https://avatars.steamstatic.com/b06093555b8c23375db9959e2ff96282bcb8e557_medium.jpg,https://avatars.steamstatic.com/b06093555b8c23375db9959e2ff96282bcb8e557_full.jpg,https://steamcommunity.com/profiles/76561198091950633/,,,,False,False
,42.0,,{'estimate': 3077},,132039214,Milk,,False,0,76561198092304942,https://avatars.steamstatic.com/18cf9e93edbe79213f24fd277a0c8fc05e9ec68f.jpg,https://avatars.steamstatic.com/18cf9e93edbe79213f24fd277a0c8fc05e9ec68f_medium.jpg,https://avatars.steamstatic.com/18cf9e93edbe79213f24fd277a0c8fc05e9ec68f_full.jpg,https://steamcommunity.com/id/Ggpunky/,,US,,False,False
5171.0,80.0,3956.0,{'estimate': 4196},772.0,140011059,葫芦娃,,False,0,76561198100276787,https://avatars.steamstatic.com/fd4eb830996666a1f32280771c3180cb46da0bad.jpg,https://avatars.steamstatic.com/fd4eb830996666a1f32280771c3180cb46da0bad_medium.jpg,https://avatars.steamstatic.com/fd4eb830996666a1f32280771c3180cb46da0bad_full.jpg,https://steamcommunity.com/profiles/76561198100276787/,,,,False,False
,,,{},,116842042,Vươngzz,,False,0,76561198077107770,https://avatars.steamstatic.com/5990250d448bc9bc2fce41b0c378ba4515a7b4c3.jpg,https://avatars.steamstatic.com/5990250d448bc9bc2fce41b0c378ba4515a7b4c3_medium.jpg,https://avatars.steamstatic.com/5990250d448bc9bc2fce41b0c378ba4515a7b4c3_full.jpg,https://steamcommunity.com/id/VnShilver1st/,,VN,,False,False
4676.0,80.0,,{'estimate': 4949},1438.0,90544703,Hoshigaki Kisame - 〃,,False,0,76561198050810431,https://avatars.steamstatic.com/6a9eebe1db9a96e4876a381fa4a808476395fe8e.jpg,https://avatars.steamstatic.com/6a9eebe1db9a96e4876a381fa4a808476395fe8e_medium.jpg,https://avatars.steamstatic.com/6a9eebe1db9a96e4876a381fa4a808476395fe8e_full.jpg,https://steamcommunity.com/profiles/76561198050810431/,,RU,,False,False
4092.0,52.0,4138.0,{'estimate': 3800},,295831105,DOODLES,,True,0,76561198256096833,https://avatars.steamstatic.com/83a40ec73950db3fbb3fcf2ac5faab54d3fa14e1.jpg,https://avatars.steamstatic.com/83a40ec73950db3fbb3fcf2ac5faab54d3fa14e1_medium.jpg,https://avatars.steamstatic.com/83a40ec73950db3fbb3fcf2ac5faab54d3fa14e1_full.jpg,https://steamcommunity.com/profiles/76561198256096833/,,UA,,False,False
