Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3,year_start,year_end,height,weight,birth_date,year_active,age_start,age_end,churn
Ansu Sesay,2,SF,GSW,73,13.9,2,711,0.5,0.4,0.2,0.5,-2.3,0.4,0.5,0.3,2002,2005,6-9,225,1976,4,26,29,1
Antawn Jamison,18,PF,LAC,1149,17.3,928,40044,0.5,3.8,1.4,5.2,-0.6,0.4,0.5,0.3,1999,2014,6-8,223,1976,16,23,38,0
Anthony Avent,1,PF,MIL,82,10.2,78,2285,0.5,-1.5,1.8,0.3,-4.6,0.4,0.4,0.0,1993,2000,6-9,235,1969,8,24,31,0
Anthony Bennett,4,PF,BRK,151,10.9,4,1905,0.5,-0.2,0.4,0.1,-6.1,0.4,0.4,0.3,2014,2017,6-8,245,1993,4,21,24,1
Anthony Bonner,3,PF,NYK,207,10.9,76,5177,0.5,0.1,1.9,1.9,-0.9,0.5,0.5,0.2,1991,1996,6-8,215,1968,6,23,28,1
Anthony Bowie,8,SG,NYK,461,11.5,87,8349,0.5,0.6,0.9,1.5,-2.0,0.5,0.5,0.3,1989,1998,6-6,190,1963,10,26,35,0
Anthony Brown,4,SF,ORL,51,9.1,11,917,0.4,-0.2,0.1,-0.1,-3.6,0.4,0.4,0.3,2016,2017,6-7,210,1992,2,24,25,1
Anthony Carter,15,PG,TOR,656,9.0,181,12647,0.4,-0.3,1.0,0.7,-4.1,0.4,0.4,0.2,2000,2012,6-1,190,1975,13,25,37,0
Anthony Cook,4,PF,POR,117,10.3,25,1585,0.5,-0.0,0.2,0.2,-5.6,0.5,0.5,0.0,1991,1996,6-9,205,1967,6,24,29,1
Anthony Davis,5,C,NOP,335,26.3,330,11531,0.6,6.2,3.5,9.7,4.0,0.5,0.5,0.2,2013,2018,6-10,253,1993,6,20,25,0
Anthony Frederick,2,SF,CHH,112,12.4,26,1165,0.5,-0.0,0.4,0.4,-3.0,0.5,0.5,0.3,1989,1992,6-7,205,1964,4,25,28,1
Anthony Goldwire,16,PG,LAC,385,9.1,104,6846,0.5,0.5,0.1,0.6,-5.5,0.4,0.4,0.4,1996,2006,6-1,182,1971,11,25,35,0
Anthony Grundy,1,SG,ATL,12,16.6,0,108,0.6,0.1,0.1,0.2,-1.7,0.5,0.6,0.3,2006,2006,6-3,180,1979,1,27,27,1
Anthony Johnson,21,PG,ORL,1038,10.4,324,19532,0.5,0.4,0.8,1.3,-3.0,0.4,0.4,0.3,1998,2010,6-3,190,1974,13,24,36,0
Anthony Jones,7,SG,DAL,262,10.6,8,2758,0.4,-0.1,0.4,0.2,-3.1,0.4,0.4,0.2,1987,1990,6-6,195,1962,4,25,28,1
Anthony Mason,7,C,MIL,533,14.2,397,19085,0.6,4.5,3.0,7.5,1.8,0.5,0.5,0.2,1990,2003,6-7,250,1966,14,24,37,0
Anthony Miller,3,PF,HOU,102,11.9,1,899,0.5,0.3,0.3,0.6,-3.4,0.5,0.5,0.1,1995,2005,6-9,225,1971,11,24,34,0
Anthony Morrow,13,SG,CHI,654,12.6,150,13377,0.6,1.6,0.3,1.9,-2.7,0.4,0.5,0.4,2009,2017,6-5,210,1985,9,24,32,0
Anthony Parker,8,SF,CLE,492,12.0,423,13749,0.5,1.7,1.3,3.1,-0.1,0.4,0.5,0.4,1998,2012,6-6,215,1975,15,23,37,0
Anthony Peeler,15,SG,WAS,865,13.1,328,21657,0.5,1.3,0.9,2.2,-0.8,0.4,0.5,0.4,1993,2005,6-4,208,1969,13,24,36,0
Anthony Randolph,7,PF,DEN,269,15.0,43,3968,0.5,0.1,0.7,0.8,-2.9,0.4,0.4,0.1,2009,2014,6-10,205,1989,6,20,25,0
Anthony Roberson,5,PG,CHI,94,10.9,1,867,0.5,0.1,0.1,0.1,-5.6,0.4,0.5,0.3,2006,2009,6-2,180,1983,4,23,26,1
Anthony Taylor,1,PG,MIA,21,11.1,7,368,0.4,-0.1,0.3,0.2,-3.8,0.4,0.4,0.0,1989,1989,6-4,175,1965,1,24,24,1
Anthony Tolliver,12,PF,SAC,640,10.7,118,13245,0.5,1.2,0.8,2.0,-1.1,0.4,0.5,0.3,2009,2018,6-8,240,1985,10,24,33,0
Anthony Tucker,1,SF,WSB,62,9.2,13,982,0.5,-0.2,0.9,0.6,-2.9,0.5,0.5,0.0,1995,1995,6-8,220,1969,1,26,26,1
